Generation time,MACs,status,latitud,longitud,accuracy
2023-12-28T14:42:50+0000,"['64:05:E4:5B:C8:D6', '00:06:C6:8D:5B:72', 'C8:EA:F8:A5:75:0A']",ok,N/A,N/A,N/A
2023-12-28T13:14:03+0000,"['0C:72:74:9E:79:A1', '44:FE:3B:52:EC:BA', 'DC:90:88:2C:58:60']",ok,49.74204833,9.00585531,63
2023-12-28T12:45:38+0000,"['18:82:8C:91:B9:2E', 'B0:F1:EC:70:BF:17', '94:6A:B0:B3:9F:EA']",ok,49.74679472,9.00352671,120
2023-12-27T20:04:59+0000,"['DC:39:6F:A7:98:03', 'FC:3F:7C:5B:8C:18', 'DE:39:6F:A7:98:03']",ok,49.6844521,8.95553429,120
2023-12-27T14:48:33+0000,"['D4:72:26:9D:57:B1', '38:17:C3:36:E4:E1', 'AC:B6:87:3F:75:4E']",ok,49.52531063,8.5628493,15
2023-12-27T13:28:26+0000,"['18:64:72:7B:01:42', '18:64:72:7B:01:43', '18:64:72:7B:01:46']",ok,49.65497812,8.78555743,45
2023-12-26T15:57:09+0000,"['DC:39:6F:A7:98:03', '34:31:C4:62:8D:74', 'FC:3F:7C:5B:8C:18']",ok,49.68451504,8.95569188,120
2023-12-25T15:57:00+0000,"['DC:39:6F:A7:98:03', 'FC:3F:7C:5B:8C:18', '34:31:C4:62:8D:74']",ok,49.68451504,8.95569188,120
2023-12-25T14:32:32+0000,"['08:BE:AE:05:3A:5E', '08:BE:AC:05:3A:5D', '74:DA:38:EE:63:80']",ok,49.74330585,9.00420731,60
2023-12-24T14:36:24+0000,"['DC:39:6F:A7:98:03', '34:31:C4:62:8D:74', 'FC:3F:7C:5B:8C:18']",ok,49.68451504,8.95569188,120
2023-12-24T13:36:22+0000,"['40:75:C3:96:7D:70', '00:A0:57:7F:1C:5A', '74:42:7F:2A:D6:4B']",ok,49.66015567,8.99047602,16
2023-12-23T18:30:16+0000,"['DC:39:6F:A7:98:03', 'DE:39:6F:A7:98:03', 'FF:FF:FF:FF:FF:FF']",ok,N/A,N/A,N/A
2023-12-23T15:49:58+0000,"['C8:EA:F8:F7:E6:93', '1C:ED:6F:86:E0:51', '30:D3:2D:AB:F4:7D']",ok,49.68252608,9.0020324,17
