ID,TIME,lng_h,lat_h,lng_w,lat_w
47DPFZ,2023-12-25T19:01:22+0000,7.40653304,51.67692584,7.40653304,51.67692584
47DPFZ,2023-12-26T14:09:55+0000,7.40664306,51.67716635,7.40653304,51.67692584
47DPFZ,2023-12-27T13:48:32+0000,7.40664306,51.67716635,7.40664306,51.67716635
LGXH6H,2023-12-25T12:51:59+0000,7.93422514,46.91396028,7.43947731,46.94982232
RTTXRK,2023-12-25T12:53:05+0000,7.9340971,46.91380697,7.43952637,46.94985071
RTTXRK,2023-12-25T14:36:56+0000,7.43952637,46.94985071,7.57194644,47.57779175
LGXH6H,2023-12-25T14:37:09+0000,7.43947731,46.94982232,7.57199881,47.57781174
LGXH6H,2023-12-25T19:09:12+0000,7.57199881,47.57781174,7.5864644,47.55890443
RTTXRK,2023-12-25T19:08:48+0000,7.57194644,47.57779175,7.58672167,47.55907733
RTTXRK,2023-12-24T21:03:56+0000,8.30023683,47.02746086,8.27823993,47.18547627
LGXH6H,2023-12-25T08:52:43+0000,8.2999534,47.02719492,8.27838476,47.18578573
LGXH6H,2023-12-24T21:04:10+0000,8.30056343,47.02738247,8.2999534,47.02719492
RTTXRK,2023-12-24T16:45:37+0000,8.31001786,47.06311444,8.30066789,47.02757531
LGXH6H,2023-12-24T16:45:22+0000,8.31009846,47.06324813,8.30066789,47.02757531
RTTXRK,2023-12-24T14:48:03+0000,8.30059402,47.02756184,8.31001786,47.06311444
LGXH6H,2023-12-24T14:48:20+0000,8.30059402,47.02756184,8.31009846,47.06324813
KYV43U,2023-12-27T13:28:26+0000,8.78555743,49.65497812,8.5628493,49.52531063
UUT9T3,2023-12-27T13:28:28+0000,8.78563335,49.65502479,8.56304572,49.52522649
FL7LRL,2023-12-23T13:42:09+0000,8.68501467,50.11358446,8.64977681,50.12333428
GTXNAD,2024-01-07T08:58:52+0000,11.56922537,48.28710157,8.6504127,50.11684146
RTTXRK,2023-12-26T09:25:36+0000,7.58672167,47.55907733,8.66311132,48.34322315
FL7LRL,2023-12-23T11:30:10+0000,8.6504127,50.11684146,8.68501467,50.11358446
FL7LRL,2023-12-23T15:16:38+0000,8.64977681,50.12333428,8.76009065,50.08616112
KYV43U,2023-12-26T15:57:09+0000,8.95569188,49.68451504,8.78555743,49.65497812
UUT9T3,2023-12-26T15:56:56+0000,8.95569188,49.68451504,8.78563335,49.65502479
LGXH6H,2023-12-23T18:12:05+0000,9.23003569,48.47317718,8.78589166,47.86158983
RTTXRK,2023-12-23T18:10:00+0000,9.23003569,48.47317718,8.78603091,47.86162766
KYV43U,2023-12-27T14:48:33+0000,8.5628493,49.52531063,8.95553429,49.6844521
UUT9T3,2023-12-23T15:49:58+0000,9.00208974,49.68240623,8.95556152,49.68440447
UUT9T3,2023-12-25T14:32:21+0000,9.00430487,49.74328644,8.95556152,49.68440447
UUT9T3,2023-12-27T14:48:31+0000,8.56304572,49.52522649,8.95569188,49.68451504
KYV43U,2023-12-24T13:36:22+0000,8.99047602,49.66015567,8.95569188,49.68451504
UUT9T3,2023-12-25T15:56:51+0000,8.95556152,49.68440447,8.95569188,49.68451504
KYV43U,2023-12-25T15:57:00+0000,8.95569188,49.68451504,8.95569188,49.68451504
KYV43U,2023-12-25T14:32:32+0000,9.00420731,49.74330585,8.95569188,49.68451504
UUT9T3,2023-12-23T18:30:07+0000,8.95556152,49.68440447,8.99041037,49.66023275
YJURU7,2024-01-07T15:57:31+0000,11.6612873,48.0987857,9.00208974,49.68240623
KYV43U,2023-12-27T20:04:59+0000,8.95553429,49.6844521,9.00344374,49.74679854
UUT9T3,2023-12-27T20:04:47+0000,8.95569188,49.68451504,9.00348869,49.74699989
KYV43U,2023-12-24T14:36:24+0000,8.95569188,49.68451504,9.00420731,49.74330585
KYV43U,2023-12-28T12:45:38+0000,9.00344374,49.74679854,9.00585531,49.74204833
UUT9T3,2023-12-28T12:45:26+0000,9.00348869,49.74699989,9.00585531,49.74204833
RTTXRK,2023-12-26T18:58:27+0000,9.23007805,48.47314992,9.17821975,48.77298062
LGXH6H,2023-12-26T18:58:29+0000,9.23003569,48.47317718,9.1782202,48.77298145
TGQR66,2024-01-06T22:31:56+0000,11.4106859,48.15034076,9.22270285,48.48034803
LGXH6H,2023-12-23T17:33:42+0000,9.22270285,48.48034803,9.23003569,48.47317718
RTTXRK,2023-12-23T17:33:42+0000,9.22270285,48.48034803,9.23003569,48.47317718
LGXH6H,2023-12-26T18:33:51+0000,9.23041682,48.48192602,9.23003569,48.47317718
RTTXRK,2023-12-26T18:34:01+0000,9.23041682,48.48192602,9.23007805,48.47314992
RTTXRK,2023-12-26T17:14:55+0000,8.66311132,48.34322315,9.23041682,48.48192602
FL7LRL,2023-12-23T16:34:50+0000,8.76009065,50.08616112,9.57476542,49.77673329
RTTXRK,2024-01-01T12:59:23+0000,11.58569478,48.20192691,10.75392916,48.17987603
LGXH6H,2024-01-01T12:59:23+0000,11.5858565,48.2017265,10.75394139,48.17990383
RTTXRK,2024-01-01T14:29:01+0000,10.75392916,48.17987603,10.92894129,48.36140908
LGXH6H,2024-01-02T08:32:24+0000,11.56922537,48.28710157,10.92894396,48.36138757
RTTXRK,2024-01-02T08:33:09+0000,11.56922537,48.28710157,11.14373038,46.61421425
RTTXRK,2024-01-03T14:12:18+0000,11.16278712,46.60091242,11.1446901,46.60277919
LGXH6H,2024-01-03T14:11:27+0000,11.16267328,46.60111202,11.1446901,46.60277919
RTTXRK,2024-01-03T10:59:56+0000,11.14373038,46.61421425,11.1446901,46.60277919
LGXH6H,2024-01-03T10:59:33+0000,11.14354259,46.61398091,11.16267328,46.60111202
RTTXRK,2024-01-03T14:43:41+0000,11.1446901,46.60277919,11.16278712,46.60091242
LGXH6H,2024-01-03T14:43:23+0000,11.1446901,46.60277919,11.1667497,46.65595156
RTTXRK,2024-01-05T21:05:08+0000,11.56975737,48.28187361,11.16701513,46.65603802
RTTXRK,2024-01-02T18:51:04+0000,11.1446901,46.60277919,11.16929027,46.66147713
LGXH6H,2024-01-03T18:49:46+0000,11.1667497,46.65595156,11.16929027,46.66147713
TGQR66,2024-01-06T18:03:00+0000,13.57987816,46.91943897,11.4106859,48.15034076
CAFMTC,2023-12-24T14:42:33+0000,11.41725499,48.16429478,11.41722811,48.16440524
CAFMTC,2023-12-27T14:35:56+0000,11.49768943,48.14365215,11.41725499,48.16429478
CAFMTC,2023-12-31T16:44:04+0000,11.41725499,48.16429478,11.41725499,48.16429478
CAFMTC,2023-12-30T16:44:02+0000,11.41725499,48.16429478,11.41725499,48.16429478
CAFMTC,2023-12-29T16:43:52+0000,11.41725499,48.16429478,11.41725499,48.16429478
CAFMTC,2023-12-27T15:44:26+0000,11.41725499,48.16429478,11.41725499,48.16429478
CAFMTC,2023-12-23T14:42:31+0000,11.41738067,48.16434131,11.41725499,48.16429478
