Device name,Generation time,lng_h,lat_h,lng_w,lat_w
MP4A24,2024-05-10T14:53:43+0000,11.58315983,48.27738894,11.58315983,48.27738894
MP4A24,2024-05-10T14:50:37+0000,11.58315983,48.27738894,11.58315983,48.27738894
MP4A24,2024-05-10T14:50:37+0000,11.58315983,48.27738894,11.58315983,48.27738894
MP4A24,2024-05-10T13:50:53+0000,11.58315983,48.27738894,11.60489375,48.19868046
MP4A24,2024-05-10T13:50:53+0000,11.60489375,48.19868046,11.60489375,48.19868046
MP4A24,2024-05-10T02:33:14+0000,11.60489375,48.19868046,11.58319941,48.2773678
MP4A24,2024-05-09T14:33:14+0000,11.58319941,48.2773678,11.58319941,48.2773678
MP4A24,2024-05-09T02:30:13+0000,11.58319941,48.2773678,11.58320972,48.27736158
MP4A24,2024-05-08T14:30:14+0000,11.58320972,48.27736158,11.58307734,48.27736719
MP4A24,2024-05-08T14:24:01+0000,11.58307734,48.27736719,11.58307734,48.27736719
MP4A24,2024-05-08T14:24:01+0000,11.58307734,48.27736719,11.58307734,48.27736719
MP4A24,2024-05-08T13:45:25+0000,11.58307734,48.27736719,N/A,N/A
MP4A24,2024-05-08T13:45:25+0000,N/A,N/A,N/A,N/A
MP4A24,2024-05-08T07:20:02+0000,N/A,N/A,11.58313712,48.27737721
MP4A24,2024-05-08T07:20:02+0000,11.58313712,48.27737721,11.58313712,48.27737721
MP4A24,2024-05-08T06:35:41+0000,11.58313712,48.27737721,11.56919569,48.27304834
MP4A24,2024-05-08T06:35:41+0000,11.56919569,48.27304834,11.56919569,48.27304834
MP4A24,2024-05-08T02:30:14+0000,11.56919569,48.27304834,11.58319941,48.2773678
MP4A24,2024-05-07T15:15:16+0000,11.58319941,48.2773678,11.58319941,48.2773678
MP4A24,2024-05-07T15:15:16+0000,11.58319941,48.2773678,11.58319941,48.2773678
MP4A24,2024-05-07T14:30:13+0000,11.58319941,48.2773678,11.5684513,48.28734464
MP4A24,2024-05-07T11:09:45+0000,11.5684513,48.28734464,11.568874,48.28730934
MP4A24,2024-05-07T11:09:45+0000,11.568874,48.28730934,11.568874,48.28730934
MP4A24,2024-05-07T10:08:04+0000,11.568874,48.28730934,11.58315264,48.27746537
MP4A24,2024-05-07T10:08:04+0000,11.58315264,48.27746537,11.58315264,48.27746537
MP4A24,2024-05-07T06:51:26+0000,11.58315264,48.27746537,11.60277482,48.13594648
MP4A24,2024-05-07T06:51:26+0000,11.60277482,48.13594648,11.60277482,48.13594648
MP4A24,2024-05-07T02:27:14+0000,11.60277482,48.13594648,11.58315983,48.27738894
MP4A24,2024-05-06T14:27:14+0000,11.58315983,48.27738894,11.58315983,48.27738894
MP4A24,2024-05-06T11:23:00+0000,11.58315983,48.27738894,11.58327014,48.27729835
MP4A24,2024-05-06T11:23:00+0000,11.58327014,48.27729835,11.58327014,48.27729835
MP4A24,2024-05-06T11:06:40+0000,11.58327014,48.27729835,11.57989641,48.28331261
MP4A24,2024-05-06T11:06:40+0000,11.57989641,48.28331261,11.57989641,48.28331261
MP4A24,2024-05-06T08:06:37+0000,11.57989641,48.28331261,11.6087044,48.1368912
MP4A24,2024-05-06T08:06:37+0000,11.6087044,48.1368912,11.6087044,48.1368912
MP4A24,2024-05-06T02:24:14+0000,11.6087044,48.1368912,11.58295251,48.2774253
MP4A24,2024-05-05T14:24:14+0000,11.58295251,48.2774253,11.58295251,48.2774253
MP4A24,2024-05-05T02:24:14+0000,11.58295251,48.2774253,11.58295251,48.2774253
MP4A24,2024-05-04T16:44:51+0000,11.58295251,48.2774253,11.58301738,48.27740227
MP4A24,2024-05-04T16:44:51+0000,11.58301738,48.27740227,11.58301738,48.27740227
MP4A24,2024-05-04T14:24:14+0000,11.58301738,48.27740227,11.57610655,48.15535807
MP4A24,2024-05-04T12:41:02+0000,11.57610655,48.15535807,11.57610398,48.15534978
MP4A24,2024-05-04T12:41:02+0000,11.57610398,48.15534978,11.57610398,48.15534978
MP4A24,2024-05-04T11:29:56+0000,11.57610398,48.15534978,11.58326453,48.27741385
MP4A24,2024-05-04T11:29:56+0000,11.58326453,48.27741385,11.58326453,48.27741385
MP4A24,2024-05-04T10:52:07+0000,11.58326453,48.27741385,11.57093675,48.29128857
MP4A24,2024-05-04T10:52:07+0000,11.57093675,48.29128857,11.57093675,48.29128857
MP4A24,2024-05-04T10:11:05+0000,11.57093675,48.29128857,N/A,N/A
MP4A24,2024-05-04T10:11:05+0000,N/A,N/A,N/A,N/A
MP4A24,2024-05-04T02:24:14+0000,N/A,N/A,11.58326453,48.27741385
MP4A24,2024-05-03T14:24:14+0000,11.58326453,48.27741385,11.58315983,48.27738894
MP4A24,2024-05-03T02:24:14+0000,11.58315983,48.27738894,11.58326453,48.27741385
MP4A24,2024-05-02T16:24:50+0000,11.58326453,48.27741385,11.58315983,48.27738894
MP4A24,2024-05-02T16:24:50+0000,11.58315983,48.27738894,11.58315983,48.27738894
MP4A24,2024-05-02T14:54:10+0000,11.58315983,48.27738894,11.58117411,48.28424062
MP4A24,2024-05-02T14:54:10+0000,11.58117411,48.28424062,11.58117411,48.28424062
MP4A24,2024-05-02T14:21:13+0000,11.58117411,48.28424062,11.5689283,48.28725764
MP4A24,2024-05-02T06:40:05+0000,11.5689283,48.28725764,11.5689603,48.28728831
MP4A24,2024-05-02T06:40:05+0000,11.5689603,48.28728831,11.5689603,48.28728831
MP4A24,2024-05-02T02:21:13+0000,11.5689603,48.28728831,11.58336087,48.27729116
MP4A24,2024-05-01T14:21:13+0000,11.58336087,48.27729116,11.58337504,48.27726305
MP4A24,2024-05-01T02:21:13+0000,11.58337504,48.27726305,11.58330191,48.27729357
